ID;MACRORREG_OCOR;COD_UF_OCOR;UF_OCOR;COD_MUN_OCOR;MUN_OCOR;DATA_OCOR;SE_OCOR;MES_OCOR;ANO_OCOR;MONITORAMENTO_OCOR
1;CO;52;GO;521100;ITAPIRAPUÃ;;;2;2000;1999/2000
2;CO;52;GO;521970;SANTA TEREZINHA DE GOIÁS;;;;2000;1999/2000
3;CO;52;GO;521520;NOVO BRASIL;;;2;2000;1999/2000
4;SE;31;MG;310450;ARINOS;;;2;2000;1999/2000
5;SE;31;MG;310820;BONFINÓPOLIS DE MINAS;;;4;2000;1999/2000
6;SE;31;MG;313862;LIMEIRA DO OESTE;;;7;2001;2000/2001
7;S;43;RS;431770;SANTO ANTÔNIO DAS MISSÕES;;;6;2001;2000/2001
8;S;43;RS;430865;GARRUCHOS;;;5;2001;2000/2001
9;S;43;RS;431110;JAGUARI;14/11/2002;46;11;2002;2002/2003
10;SE;31;MG;315980;SANTA VITÓRIA;;;11;2002;2002/2003
11;S;43;RS;431740;SANTIAGO;;;1;2003;2002/2003
12;CO;52;GO;520140;APARECIDA DE GOIÂNIA;01/10/2007;40;10;2007;2007/2008
13;CO;52;GO;520140;APARECIDA DE GOIÂNIA;01/12/2007;48;12;2007;2007/2008
14;CO;52;GO;520140;APARECIDA DE GOIÂNIA;08/10/2008;41;10;2008;2008/2009
15;CO;52;GO;520140;APARECIDA DE GOIÂNIA;01/01/2008;1;1;2008;2007/2008
16;CO;52;GO;520140;APARECIDA DE GOIÂNIA;01/06/2008;23;6;2008;2007/2008
17;CO;52;GO;520140;APARECIDA DE GOIÂNIA;10/12/2007;50;12;2007;2007/2008
18;CO;52;GO;520510;CATALÃO;01/01/2008;1;1;2008;2007/2008
19;CO;52;GO;520870;GOIÂNIA;05/10/2007;40;10;2007;2007/2008
20;CO;52;GO;520870;GOIÂNIA;17/11/2007;46;11;2007;2007/2008
21;CO;52;GO;520870;GOIÂNIA;19/12/2007;51;12;2007;2007/2008
22;CO;52;GO;520870;GOIÂNIA;01/01/2008;1;1;2008;2007/2008
23;CO;53;DF;530010;BRASÍLIA;07/01/2008;2;1;2008;2007/2008
24;CO;52;GO;521190;JATAÍ;01/01/2008;1;1;2008;2007/2008
25;CO;52;GO;521250;LUZIÂNIA;01/04/2008;14;4;2008;2007/2008
26;CO;52;GO;521150;ITUMBIARA;01/01/2008;1;1;2008;2007/2008
27;CO;52;GO;521523;NOVO GAMA;01/01/2008;1;1;2008;2007/2008
28;CO;52;GO;521530;ORIZONA;01/01/2008;1;1;2008;2007/2008
29;CO;52;GO;521565;PALESTINA DE GOIÁS;01/10/2007;40;10;2007;2007/2008
30;SE;31;MG;314437;NATALÂNDIA;17/01/2008;3;1;2008;2007/2008
31;SE;31;MG;310855;BRASILÂNDIA DE MINAS;29/04/2008;18;4;2008;2007/2008
32;CO;50;MS;500070;ANASTÁCIO;18/01/2008;3;1;2008;2007/2008
33;SE;35;SP;353280;NOVA ALIANÇA;14/01/2008;3;1;2008;2007/2008
34;SE;35;SP;352950;MENDONÇA;14/01/2008;3;1;2008;2007/2008
35;N;17;TO;170700;DIANÓPOLIS;29/01/2008;5;1;2008;2007/2008
36;CO;52;GO;521878;RIO QUENTE;01/12/2007;48;12;2007;2007/2008
37;S;41;PR;412627;SAUDADE DO IGUAÇU;22/02/2008;8;2;2008;2007/2008
38;SE;35;SP;352950;MENDONÇA;13/02/2008;7;2;2008;2007/2008
39;SE;35;SP;355600;URUPÊS;14/02/2008;7;2;2008;2007/2008
40;CO;50;MS;500320;CORUMBÁ;01/02/2008;5;2;2008;2007/2008
41;S;43;RS;432147;TIRADENTES DO SUL;15/10/2008;42;10;2008;2008/2009
42;S;43;RS;430010;AGUDO;04/05/2009;18;5;2009;2008/2009
43;SE;31;MG;314700;PARACATU;29/01/2008;5;1;2008;2007/2008
44;S;43;RS;430066;ANDRÉ DA ROCHA;04/05/2009;18;5;2009;2008/2009
45;S;43;RS;430080;ANTÔNIO PRADO;18/04/2009;15;4;2009;2008/2009
46;S;43;RS;430080;ANTÔNIO PRADO;18/04/2009;15;4;2009;2008/2009
47;S;43;RS;430330;CAIBATÉ;17/11/2008;47;11;2008;2008/2009
48;S;43;RS;430330;CAIBATÉ;18/11/2008;47;11;2008;2008/2009
49;S;43;RS;430330;CAIBATÉ;24/11/2008;48;11;2008;2008/2009
